hour,mean_speed,std_speed,median_speed,violation_rate
0,102.74864888420916,16.05125126281164,102.5999972820282,99.72
1,102.67175366337281,16.859598008875615,102.5999972820282,99.59
2,102.25368590096643,17.52769730792469,101.88000142097462,99.23
3,100.9412869724414,18.619298536263184,100.79999732971191,98.25
4,101.15729161303832,18.761843158395653,101.15999869346616,98.38
5,101.60965194751822,18.615415977515887,101.5200000572204,98.51
6,102.01555250965929,18.248372072002695,101.5200000572204,98.9
7,102.60089518288775,18.264181986175217,101.88000142097462,99.14
8,102.65438543640033,17.755317656584396,102.23999591827396,99.48
9,101.53187892764808,17.186176434443485,100.79999732971191,99.59
10,98.85565881690745,16.646538679267614,97.92000015258782,99.59
11,96.47469961862646,17.119567278890162,95.7599988365173,99.2
12,98.16357916032777,17.768337957094175,97.19999742507936,99.1
13,100.47608396292883,19.75669083488862,99.7200001049041,98.4
14,99.46219555287742,21.84049990767075,99.35999874114988,96.32
15,100.10835407466469,23.158868790779255,99.7200001049041,96.34
16,100.98773020368638,24.806135036601894,100.43999596595768,95.37
17,101.17770819919922,24.37502910634574,101.5200000572204,95.06
18,101.51826072771014,24.530081382654185,101.5200000572204,94.97
19,99.4369634195606,24.70462912257257,98.99999737739564,94.65
20,95.87415705517712,25.324484757849962,95.7599988365173,91.74
21,98.92697286305632,21.933487370080993,98.6399960136414,96.67
22,101.58266306350966,18.947178884190034,101.5200000572204,98.89
23,103.16772086707839,16.952595009902414,102.95999864578243,99.69
