feature,importance
radar_id_encoded,2.4660983225577904
lane,1.4939750526662792
vehicle_class_encoded,1.105823695741312
hour,0.4316584935550403
month,0.3830887956010246
vehicles_per_hour,0.3568544349927247
latitude,0.29371964305921683
day_of_month,0.2811671203139037
day_of_week,0.25989252071046326
longitude,0.09184429694747091
is_rush_hour,0.087614935938353
vehicle_category_encoded,0.03464797952874487
is_night,0.0200407275126595
is_weekend,0.0017037916517149804
is_heavy_vehicle,0.0
congestion_index,0.0
